Tweet,Sentiment
Looking into the specs of Tesla Model 3 compared to traditional cars.,Neutral
Does anyone have experience with the green mobility on a Tesla Model 3 for long trips?,Neutral
Does anyone have experience with the running costs on a Hyundai IONIQ 5 for long trips?,Neutral
Interesting to see the shift towards green mobility in the latest auto news.,Neutral
Charging my Tesla Model 3 takes forever. We need faster technology than this.,Negative
Finally more charging stations in my area. green mobility is no longer a worry. Great job!,Positive
Charging my electric scooter takes forever. We need faster technology than this.,Negative
Broken charging points at the station again. Very frustrated with instant torque.,Negative
Broken charging points at the station again. Very frustrated with range anxiety.,Negative
Love the battery life on my new electric vehicle. Sustainability is the future! 🌱,Positive
Broken charging points at the station again. Very frustrated with green mobility.,Negative
Finally more charging stations in my area. range anxiety is no longer a worry. Great job!,Positive
Finally more charging stations in my area. running costs is no longer a worry. Great job!,Positive
The acceleration of this EV bike is mind-blowing. No more petrol bills!,Positive
Range anxiety is real. My electric scooter doesn't even hit half its claimed mileage.,Negative
Interesting to see the shift towards charging infrastructure in the latest auto news.,Neutral
Government just announced new subsidies for charging infrastructure in the EV sector.,Neutral
Love the battery life on my new electric vehicle. Sustainability is the future! 🌱,Positive
Initial cost of MG ZS EV is too high. Not affordable for common people yet.,Negative
Looking into the specs of Tesla Model 3 compared to traditional cars.,Neutral
Love the green mobility on my new electric vehicle. Sustainability is the future! 🌱,Positive
Government just announced new subsidies for green mobility in the EV sector.,Neutral
Does anyone have experience with the running costs on a electric scooter for long trips?,Neutral
Charging my electric scooter takes forever. We need faster technology than this.,Negative
Switching to a MG ZS EV was the best decision. The green mobility is incredible! ⚡,Positive
Disappointed with the battery life of the MG ZS EV. Infrastructure is still so poor. 😡,Negative
Disappointed with the charging infrastructure of the Hyundai IONIQ 5. Infrastructure is still so poor. 😡,Negative
Broken charging points at the station again. Very frustrated with battery life.,Negative
The acceleration of this Tata Nexon EV is mind-blowing. No more petrol bills!,Positive
Looking into the specs of Tata Nexon EV compared to traditional cars.,Neutral
Initial cost of Tesla Model 3 is too high. Not affordable for common people yet.,Negative
The acceleration of this Hyundai IONIQ 5 is mind-blowing. No more petrol bills!,Positive
Range anxiety is real. My EV bike doesn't even hit half its claimed mileage.,Negative
The acceleration of this Tesla Model 3 is mind-blowing. No more petrol bills!,Positive
Just saw a new Hyundai IONIQ 5 parked near the mall today.,Neutral
Interesting to see the shift towards running costs in the latest auto news.,Neutral
Just saw a new electric scooter parked near the mall today.,Neutral
Charging my Tata Nexon EV takes forever. We need faster technology than this.,Negative
Switching to a Tesla Model 3 was the best decision. The battery life is incredible! ⚡,Positive
The acceleration of this electric scooter is mind-blowing. No more petrol bills!,Positive
Interesting to see the shift towards green mobility in the latest auto news.,Neutral
Finally more charging stations in my area. battery life is no longer a worry. Great job!,Positive
Interesting to see the shift towards charging infrastructure in the latest auto news.,Neutral
The acceleration of this electric scooter is mind-blowing. No more petrol bills!,Positive
Interesting to see the shift towards instant torque in the latest auto news.,Neutral
Government just announced new subsidies for running costs in the EV sector.,Neutral
Government just announced new subsidies for running costs in the EV sector.,Neutral
Just saw a new electric scooter parked near the mall today.,Neutral
Charging my Tata Nexon EV takes forever. We need faster technology than this.,Negative
Finally more charging stations in my area. battery life is no longer a worry. Great job!,Positive
Range anxiety is real. My EV bike doesn't even hit half its claimed mileage.,Negative
Love the range anxiety on my new electric vehicle. Sustainability is the future! 🌱,Positive
The acceleration of this Tesla Model 3 is mind-blowing. No more petrol bills!,Positive
Charging my Hyundai IONIQ 5 takes forever. We need faster technology than this.,Negative
Charging my Hyundai IONIQ 5 takes forever. We need faster technology than this.,Negative
Looking into the specs of Tesla Model 3 compared to traditional cars.,Neutral
Love the range anxiety on my new electric vehicle. Sustainability is the future! 🌱,Positive
Government just announced new subsidies for battery life in the EV sector.,Neutral
Driving a Tata Nexon EV feels like driving a spaceship. So quiet and smooth.,Positive
Initial cost of Tesla Model 3 is too high. Not affordable for common people yet.,Negative
Looking into the specs of Tata Nexon EV compared to traditional cars.,Neutral
Driving a Tesla Model 3 feels like driving a spaceship. So quiet and smooth.,Positive
Government just announced new subsidies for charging infrastructure in the EV sector.,Neutral
Interesting to see the shift towards instant torque in the latest auto news.,Neutral
Government just announced new subsidies for running costs in the EV sector.,Neutral
Interesting to see the shift towards range anxiety in the latest auto news.,Neutral
Just saw a new EV bike parked near the mall today.,Neutral
Does anyone have experience with the range anxiety on a Tata Nexon EV for long trips?,Neutral
Range anxiety is real. My Tata Nexon EV doesn't even hit half its claimed mileage.,Negative
Does anyone have experience with the green mobility on a electric scooter for long trips?,Neutral
Does anyone have experience with the green mobility on a electric scooter for long trips?,Neutral
Does anyone have experience with the instant torque on a Tata Nexon EV for long trips?,Neutral
Range anxiety is real. My Tata Nexon EV doesn't even hit half its claimed mileage.,Negative
Initial cost of Tata Nexon EV is too high. Not affordable for common people yet.,Negative
